# 3000 most frequent characters from Wenlin application
#Simplified	Traditional	Pinyin	Meaning
缺		quē	(缺乏quēfá) lack, be short of; 缺点 quēdiǎn shortcoming  [kuǐ]
爸		bà	dad; 爸爸 bàba daddy
绿	綠	lǜ	(绿色 lǜsè) green   [lù] (in some place names)
股		gǔ	thigh; section
败	敗	bài	(失败 shībài) lose, be defeated; 腐败 fǔbài corrupt
盘	盤	pán	dish, tray; 算盘 suànpán abacus; 棋盘 chessboard
逐		zhú	expel; pursue; 1 by 1: 逐渐 gradually; 逐步 step by step  [dí] [zhòu] [tún]
鱼	魚	yú	fish; 金鱼 jīnyú goldfish; 鲨鱼 shāyú shark
鲜	鮮	xiān	fresh    [xiǎn] few, rare; 朝鲜 Korea
临	臨	lín	overlook; be adjacent to; ䷒ Approach; 临时 temporary
哭		kū	cry, weep
湖		hú	lake; 湖泊 húpō lakes; 湖南 Hunan; 湖北 Hubei
套		tào	set; cover; 手套 glove; 一套衣服 a suit  [tǎo]
戏	戲	xì	(戏剧 xìjù) drama, play; 游戏 yóuxì game
救		jiù	help, rescue; 救命 jiùmìng! Help!  [jiū]
屋		wū	(屋子 wūzi) room; (房屋 fángwū) building; 屋顶 roof
婚		hūn	(结婚) marry; 婚礼 wedding; 婚姻 marriage
灵	靈	líng	clever; spirit; elf; 灵活 línghuó nimble, easy
础	礎	chǔ	基础 jīchǔ foundation, base, basis; 础石 chǔshí plinth
嘴		zuǐ	(嘴巴 zuǐba) mouth; 嘴唇 zuǐchún lip
顶	頂	dǐng	top; (量) 一顶帽子 a hat
浪		làng	(波浪 bōlàng) wave; 浪费 waste  [láng]
零		líng	zero; 零件 língjiàn spare part; 零钱 spare change  [līng] [lián]
亿	億	yì	100 million
怪		guài	blame; (奇怪 qíguài) strange; 怪物 guàiwu monster
泪	淚	lèi	(眼泪, 泪水) tear; 泪珠 teardrop
申		shēn	explain; 9th 地支 Earthly Branch
透		tòu	penetrate; thorough; 透镜 tòujìng lens; 透明 transparent  [shū]
恶	惡	è	evil  [wù] (厌恶) hate  [ě] (恶心) nauseous
阵	陣	zhèn	battle array; (量): 一阵风
胡		hú	recklessly; 胡说 nonsense (F鬍) (胡子 húzi) beard (F衚) 胡同
拍		pāi	clap; paddle; 乒乓拍  [bó]
误	誤	wù	(错误 cuòwù) mistake
额	額	é	(前额) forehead; 定额 quota
赶	趕	gǎn	catch up  [qián]
绍	紹	shào	介绍 jièshào introduce
载	載	zài	carry, be loaded with  [zǎi] 记载 put down in writing
丽	麗	lì	美丽 beautiful; 壮丽 majestic  [Lí] Korea
征		zhēng	journey; 长征 Long March; attack; (F徵) evidence; levy
伟	偉	wěi	(伟大) great, mighty; 宏伟 hóngwěi, 雄伟 xióngwěi grand
危		wēi	危险 dangerous; 危机 crisis; 危害 endanger
迎		yíng	(欢迎 huānyíng) welcome  [yìng]
毫		háo	long fine hair; milli-; 毫不 not at all
脱	脫	tuō	take off; 脱离 tuōlí break away  [tuì]
皇		huáng	皇帝 huángdì emperor; 皇后 huánghòu empress  [wǎng]
宗		zōng	ancestor; clan; faction; 宗教 religion; 祖宗 ancestry
托		tuō	hold in the palm; rely on; 委托 wěituō entrust
杨	楊	yáng	poplar tree; 三角叶杨 cottonwood
彩		cǎi	(色彩 sècǎi) color; 彩色 cǎisè multicolor
弄		nòng	do   [lòng] 里弄 alley
摇	搖	yáo	shake
疑		yí	(怀疑 huáiyí) doubt, suspect; 迟疑 chíyí hesitate  [níng]
抓		zhuā	grab; arrest; attract; scratch
轮	輪	lún	wheel
欧	歐	ōu	欧洲 Ōuzhōu Europe; 欧姆 ōumǔ ohm
篇		piān	sheet of paper; piece of writing
航		háng	sail; fly; 航行 hángxíng navigate; 航空 aviation
秋		qiū	autumn, fall; 春夏秋冬 chūnxiàqiūdōng
厚		hòu	thick; deep; kind; rich (food)   (cf 薄 báo thin)
季		jì	(季节) season; 冬季 winter; 四季 four seasons
掌		zhǎng	palm of the hand; 掌握 zhǎngwò grasp
雄		xióng	powerful; male; 英雄 hero; 雄伟 grand; 雄鸡 rooster
恐		kǒng	(恐怕 kǒngpà) I'm afraid; 恐怖 kǒngbù terror
税	稅	shuì	tax  [tuō] [tuì] [tuàn]
窗		chuāng	(窗户 chuānghu, 窗口) window; 窗帘 curtain  [cōng]
弱		ruò	weak; 微弱 wēiruò faint; 软弱 ruǎnruò feeble
睛		jīng	eye   [jing] 眼睛 yǎnjing eye  [jǐng]
赛	賽	sài	contest; 比赛 match, race
归	歸	guī	return
秘		mì	秘密 mìmì secret; 秘书 secretary  [bì] 秘鲁 Peru  [bié]
倍		bèi	times; 三倍 three times (as much)  [péi]
播		bō	sow, seed; 广播 broadcast; 传播 disseminate  [bǒ]
暗		àn	(黑暗) dark; 暗暗 secretly; 阴暗 gloomy; 暗示 hint
借		jiè	borrow, lend
末		mò	end; minor details; 末儿 mòr powder; 周末 weekend  [me] (=么]
玉		yù	(玉石 yùshí) jade; 玉米 yùmǐ corn
纳	納	nà	receive; accept; enjoy; pay; sew
邓	鄧	Dèng	(surname)  [shān]
旁		páng	(旁边 pángbiān) side    [bàng] (=傍)  [pēng] [bēng]
跳		tiào	jump; 跳伞 tiàosǎn parachute; 跳舞 tiàowǔ dance  [diào] [táo]
途		tú	way, route; 前途 prospect; 途经 via
休		xiū	stop; (休息 xiūxi) rest; 退休 retire; 休养所 rest home  [xù]
唯		wéi	唯物主义 materialism  [wěi]
巨		jù	(巨大 jùdà) huge  [qú]
审	審	shěn	审判 shěnpàn bring to trial; 审问 interrogate
端		duān	hold sth. level with both hands; extremity, end
迫		pò	compel; 压迫 yāpò oppress; 被迫 bèipò be compelled  [pǎi]
束		shù	bundle; 束缚 shùfù tie up; 结束 jiéshù finish
码	碼	mǎ	(量) 两码事; 码头 wharf, dock; 号码 number
补	補	bǔ	mend
佛		Fó	Buddha; 佛教 Fójiào Buddhism  [fú] 仿佛 fǎngfú seem  [bó] [bì]
探		tàn	(探索 tànsuǒ) explore  [xián]
岸		àn	shore
麻		má	hemp; numb; (芝麻 zhīma) sesame; 麻烦 máfan bother  [mā]
鼓		gǔ	drum   [gū]
伊		yī	(surname); he or she; 伊斯兰 Yīsīlán Islam
哈		hā	(sound of laughter, etc)  [hǎ] [hà] [ha] [hē] [hé] [tà] [shà]
奏		zòu	play music; 演奏 yǎnzòu perform music; 节奏 jiézòu rhythm  [còu]
岛	島	dǎo	island
泽	澤	zé	沼泽 marsh, swamp; 色泽 color and lustre; 毛泽东
默		mò	silent; 默默 mòmò silently; 沉默 reticent; 幽默 humor
汇		huì	(F彙) gather together; 汇报 to report; 词汇 vocabulary; (F匯) converge; remit
亦		yì	also; 反之亦然 and vice-versa
伙		huǒ	(量) group of people; 家伙 fellow; 伙伴 partner  [huo]
虫	蟲	chóng	worm, insect; 爬虫 páchóng reptile  [huǐ]
尚		shàng	esteem; 高尚 noble, lofty  [shang] 和尚 héshang monk  [cháng]
荣	榮	róng	(光荣, 荣誉) glory, honor
圆	圓	yuán	round; circle; (sometimes used for 元 dollar)
范		fàn	(surname); (F範) 范围 scope, range; 模范 model, fine example
童		tóng	儿童 értóng children  [zhōng]
呀		ya	(sentence final like 啊)  [yā] ah, oh  [xiā]
冰		bīng	ice; 冰箱 bīngxiāng refrigerator; 冰凉 bīngliáng ice-cold  [níng]
姓		xìng	family name, surname; 姓名 full name (first & last)  [shēng]
牙		yá	(牙齿 yáchǐ) tooth  [yà]
折		zhé	fold; break; change direction [shé] break [zhē] turn over  [tí]
鸡	雞	jī	chicken; 宫保鸡丁 Kung Pao Chicken
莫		mò	nothing; not; 莫大 mòdà greatest; 莫名其妙 baffling  [mù]
麦	麥	mài	wheat, etc; 麦片 màipiàn oatmeal
野		yě	wild  [shù]
懂		dǒng	understand
词	詞	cí	word; 词典 dictionary; 动词 verb; 词汇 vocabulary
孙	孫	sūn	grandchild; 子孙 descendants; 孙悟空; 孙中山
毒		dú	(毒物) poison; (毒品) drug; 病毒 virus  [dài]
床		chuáng	bed; 床单 chuángdān sheet; 河床 river bed
康		kāng	健康 jiànkāng health; 康熙字典 Kāngxī Zìdiǎn  [kàng]
烧	燒	shāo	roast, cook; burn (cf 炒 chǎo stir-fry)
筑	築	zhù	build, construct; 建筑学 architecture  [Zhú]
藏		cáng	store; conceal, hide  [zàng] (西藏 Xīzàng) Tibet  [zāng]
茶		chá	tea; 茶叶 cháyè tea leaves; 红茶 hóngchá black tea
释	釋	shì	解释 jiěshì explain; 释放 shìfàng release
宽	寬	kuān	wide, broad; extend; relax
醒		xǐng	become sober, wake up; 提醒 remind  [chéng] [jīng]
君		jūn	(君主) monarch, sovereign; (君子) gentleman; 暴君 tyrant
硬		yìng	hard; 硬件 yìngjiàn hardware  [gěng]
销	銷	xiāo	melt (metal); remove; sell; 脱销 sold out
狗		gǒu	dog; 猎狗 liègǒu hound; 疯狗 fēnggǒu mad dog
索		suǒ	rope; 思索 think deeply; 索性 simply, just  [suō]
齐	齊	qí	整齐 zhěngqí neat; 一齐 yìqí together [zhāi] (=斋) [zī] (=粢)
奖	獎	jiǎng	prize, award; 奖金 bonus; 奖学金 scholarship
附		fù	enclose, attach; 附近 fùjìn vicinity, nearby  [bù] [fū]
洗		xǐ	wash; 洗澡 xǐzǎo bath, shower  [Xiǎn] (surname)
摆	擺	bǎi	put, arrange; sway, wave; 摇摆舞 rock 'n' roll
圣	聖	shèng	holy; 圣人 sage, saint; 圣诞节 Christmas  [kū]
墙	牆	qiáng	(墙壁 qiángbì) wall
含		hán	keep in mouth; contain  [hàn]
寻	尋	xún	(寻找 xúnzhǎo) seek   [xín] 寻思 xínsi
召		zhào	(召开 zhàokāi) convene  [shào]
庆	慶	qìng	庆祝 celebrate; 庆贺 congratulate; 庆幸 rejoice
择	擇	zé	(选择 xuǎnzé) choose     [zhái] choose
博		bó	博士 Ph.D.; 博爱 universal love; 博物馆 museum
纷	紛	fēn	纷纷 one after another; 纠纷 jiūfēn dispute; 纷乱
耳		ěr	(耳朵 ěrduo) ear; 耳机 earphone, headphones  [réng]
镇	鎮	zhèn	town; press down; calm; cool
丝	絲	sī	silk; thread
献	獻	xiàn	donate; 贡献 gòngxiàn contribution
盖	蓋	gài	cover, shell; 盖子 lid
序		xù	秩序 zhìxu order; 程序 procedure; 次序 order
丁		dīng	4th 天干 heavenly stem   [zhēng]
抱		bào	hug, embrace  [pāo] [pǒu]
迷		mí	be lost; 我迷了路 I am lost; 迷信 superstition  [mì]
桥	橋	qiáo	bridge
混		hùn	mix up; 混乱 hùnluàn chaos  [hún] [gǔn] [kūn]
楚		chu	清楚 qīngchu clear   [chǔ] 苦楚 kǔchǔ misery
盛		chéng	fill; contain  [shèng] flourishing; 茂盛 luxuriant
喝		hē	drink       [hè] shout  [yè] [kài]
潮		cháo	tide; (潮湿 cháoshī) moist; 高潮 gāocháo climax
圈		quān	circle  [juàn] pen, sty  [juān] shut up in a pen  [quán] [juǎn]
抽		chōu	take out; shrink; whip; 抽烟 smoke tobacco
督		dū	监督 jiāndū supervise
冬		dōng	(冬天, 冬季) winter; 冬眠 hibernation; 春夏秋冬
忍		rěn	endure, tolerate; 忍不住 can't bear; can't resist  [rèn]
妻		qī	(妻子 qīzi) wife  [qì]
握		wò	hold, grasp; 掌握 comprehend  [òu]
粮	糧	liáng	(粮食 liángshi) grain, food
偏		piān	slanting, leaning; stubbornly; unfortunately
避		bì	(避免 bìmiǎn) avoid; 逃避 táobì escape, evade
晨		chén	(早晨 zǎochen) morning
忽		hū	disregard; (忽然 hūrán) suddenly; (忽而) now...
挂	掛	guà	hang, put up
训	訓	xùn	lesson
钢	鋼	gāng	steel; 钢笔 fountain pen; 钢琴 piano  [gàng] sharpen
享		xiǎng	(享受 xiǎngshòu) enjoy
固		gù	巩固 gǒnggù consolidate; 固定 gùdìng fixed
庄	莊	zhuāng	village; 庄稼 zhuāngjia crops; 庄严 solemn  [péng]
稳	穩	wěn	(稳定 wěndìng) stable, steady; 稳当 wěndang reliable
奋	奮	fèn	奋斗 fèndòu struggle; 兴奋 xīngfèn excited  [kǎng]
遗	遺	yí	遗传 yíchuán inherit; 遗憾 yíhàn regret  [wèi] give
煤		méi	coal; 煤油 kerosene
替		tì	in place of; (代替 dàitì) replace, substitute
禁		jìn	(禁止 jìnzhǐ) prohibit  [jīn] endure; 不禁 can't resist
姑		gū	姑娘 gūniang girl
虑	慮	lǜ	(考虑 kǎolǜ) consider; 忧虑 yōulǜ worry about  [bì]
延		yán	(延长 yáncháng) prolong
遭		zāo	meet with disaster
购	購	gòu	(购买 gòumǎi) purchase
欲		yù	desire, wish; 欲望 yùwàng desire, lust
骨		gǔ	(骨头 gǔtou) bone   [gū] 骨碌 gūlu roll  [gú]
暴		bào	violent, sudden; 暴露 expose  [pù] (=曝)  [bó]
穷	窮	qióng	poor; 无穷 wúqióng infinite
纯	純	chún	(纯洁 chúnjié) pure; (单纯 dānchún) simple
监	監	jiān	监狱 prison; 监督 supervise  [jiàn]
震		zhèn	shake, shock; 地震 earthquake; ☳ ䷲ The Arousing  [shēn]
亡		wáng	flee; lose; die  [wú]
横	橫	héng	horizontal  [hèng] perverse  [guāng] [guàng] [huáng] [huàng]
刀		dāo	knife  [diāo]
尤		yóu	fault; outstanding; 尤其 yóuqí especially
敌	敵	dí	(敌人 dírén) enemy; 敌军 enemy troops  [huá]
谋	謀	móu	scheme; 阴谋 conspiracy
测	測	cè	(测量 cèliáng) survey, measure; 观测 guāncè observe
炮		pào	cannon; 炮弹 shell  [bāo] quick-fry  [páo] 炮制 concoct
累		lèi	tired; work hard  [lěi] 积累 accumulate  [léi] (F纍)  [lǜ] [liè]
荷		hé	lotus; 荷花 lotus flower  [hè] carry; load  [hē]
予		yǔ	(予以 yǔyǐ, 给予 jǐyǔ) give, grant  [yú] (书) I  [zhù]
逃		táo	(逃跑 táopǎo) escape, flee
吴	吳	Wú	(surname)  [tūn]
悄		qiāo	悄悄 qiāoqiāo quietly   [qiǎo] 悄声 qiǎoshēng quietly  [qiào]
扩	擴	kuò	扩大 kuòdà enlarge, expand
桌		zhuō	table; 一张桌子 one table
损	損	sǔn	decrease; damage; ䷨; 损失 sǔnshī lose, loss
隐	隱	yǐn	hidden; 隐约 yǐnyuē faint, indistinct
鲁	魯	lǔ	(surname); (鲁莽 lǔmǎng) rude; dull
赞		zàn	(F贊) 赞成 approve of; (F讚) 称赞 praise
谷		gǔ	(山谷) valley; (F穀) (谷物) grain; 谷子 millet  [yù] [lù]
健		jiàn	健康 jiànkāng health
沿		yán	along; 沿海 yánhǎi coastal; 沿儿 yánr water's edge  [yǎn]
典		diǎn	典型 diǎnxíng typical; 古典 classical; 词典 dictionary  [tiǎn]
邦		bāng	城邦 chéngbāng city-state; 乌托邦 wūtuōbāng utopia
豆		dòu	bean; 豆腐 dòufu tofu; 大豆 soybean; 豌豆 pea
铜	銅	tóng	copper (Cu); 青铜 qīngtóng bronze
卷		juǎn	roll; 春卷 spring roll (F捲)  [juàn] volume, book, exam paper  [quán] (=鬈)  [quān] [gǔn] [jùn]
聚		jù	gather, get together; 核聚变 nuclear fusion
吹		chuī	blow  [chuì]
叹	嘆	tàn	sigh  [yǐ] [yòu]
唐		táng	(surname); Tang Dynasty; (唐突 tángtū) rude
幕		mù	curtain; act (of play); 屏幕 píngmù screen  [màn]
隔		gé	separate, stand between; 隔壁 next door  [rǒng] [jī]
吉		jí	lucky, auspicious
努		nǔ	努力 nǔlì try hard
诚	誠	chéng	(诚实) honest
恩		ēn	kindness; 周恩来 Zhōu Ēnlái
淡		dàn	thin, light; 淡蓝 ( = 浅蓝) light blue  [yàn] [tán]
坦		tǎn	平坦 level; 坦然 calm; 坦克 tank
悲		bēi	悲哀 grieved; 悲观 pessimistic; 悲剧 tragedy
针	針	zhēn	needle; 方针 policy; 针刺 zhēncì acupuncture
镜	鏡	jìng	(镜子) mirror; lens; 眼镜 yǎnjìng glasses
凡		fán	ordinary; (凡是 fánshì) every; 非凡 extraordinary
旗		qí	flag
赏	賞	shǎng	reward; admire; 欣赏 xīnshǎng enjoy, appreciate
返		fǎn	(返回 fǎnhuí) return, go back
餐		cān	meal  [sūn]
宜		yí	(适宜 shìyí) suitable  [yi] 便宜 piányi cheap
寒		hán	(寒冷) cold
雅		yǎ	文雅 wényǎ cultured, refined; 雅致 yǎzhi elegant  [yā] [yá]
尖		jiān	point, tip; 尖锐 sharp
甲		jiǎ	helmet; 1st 天干; 指甲 zhījia fingernail; 甲虫 beetle
梦	夢	mèng	dream
软	軟	ruǎn	soft; 软件 ruǎnjiàn software
孔		kǒng	hole; 孔子 Kǒngzǐ Confucius; 面孔 miànkǒng face
阴	陰	yīn	opposite of 阳 yáng; 阴沉, 阴天 cloudy; 阴暗 gloomy
愈		yù	heal, get better; 愈…愈… (like 越 yuè)
尺		chǐ	ruler; one-third of a meter; 英尺 foot  [chě] 工尺
闹	鬧	nào	(热闹) noisy; 闹钟 alarm clock
梁		liáng	bridge; roof beam; 桥梁 bridge; 脊梁骨 backbone
巧		qiǎo	clever; coincidentally; 巧妙 qiǎomiào ingenious
奶		nǎi	breasts; milk
妹		mèi	(妹妹 mèimei) little sister; 姐妹 jiěmèi sisters
促		cù	urge; urgent; 促进 cùjìn promote; 促使 cùshǐ impel, urge  [chuò]
译	譯	yì	(翻译 fānyì) translate
迅		xùn	迅速 xùnsù rapid, swift
壮	壯	zhuàng	robust, magnificent; 壮丽 majestic; 壮族
授		shòu	award, give; teach; 教授 jiàoshòu professor
烦	煩	fán	be vexed; 麻烦 trouble, bother; 不耐烦 impatient
偷		tōu	steal; 小偷 xiǎotōu thief
勇		yǒng	勇敢 yǒnggǎn brave; 勇气 courage; 勇士 brave warrior
惯	慣	guàn	be used to; 习惯 xíguàn be used to; habit; custom
稿		gǎo	stalk of grain; draft, sketch; manuscript
缓	緩	huǎn	(缓慢 huǎnmàn) slow
刑		xíng	punishment
纺	紡	fǎng	spin yarn; 纺织 spin and weave; 纺车 spinning wheel
贸	貿	mào	贸易 màoyì trade
触	觸	chù	touch; 接触 jiēchù get in touch; 触角 antenna
伸		shēn	stretch
丈		zhàng	(length:) 3 1/3 meters; 丈夫 zhàngfu husband
仁		rén	benevolence, humanity
幅		fú	width of cloth; size; (量): 一幅画 a picture  [bī]
缩	縮	suō	shrink
袖		xiù	(袖子) sleeve; 领袖 leader; 袖珍 pocket-sized
俗		sú	common, rustic, vulgar; custom; 俗话 proverb, saying
妙		miào	wonderful; subtle; 莫名其妙  [miǎo]		
繁		fán	numerous; 繁殖 fánzhí breed; 繁荣 flourishing; 繁体字  [pán] [pó]		
迹	跡	jì	(痕迹 hénjì) mark, trace, vestige; 奇迹 qíjì miracle  [jī]		
网	網	wǎng	net; 网球 wǎngqiú tennis		
辆	輛	liàng	车辆 car; 三辆车 three cars		
磨		mó	rub, wear down  [mò] mill, grind(stone)		
培		péi	培养 foster, train, develop; 培育 cultivate, breed  [pǒu] [pī]		
徐		xú	slowly, gently; (surname)		
粉		fěn	powder; 洗衣粉 laundry detergent; 粉红色 pink		
夺	奪	duó	force one's way; 夺取 seize, capture; 争夺 fight for		
矿	礦	kuàng	(矿石) ore; (矿山) mine; 矿物 mineral		
乘		chéng	ride (a vehicle); multiply   [shèng] chariot		
灭	滅	miè	extinguish; 消灭 eliminate; perish; 歼灭 annihilate		
喊		hǎn	(喊叫,呼喊,叫喊) shout, cry out  [kàn] [jiān]		
挑		tiāo	(挑选) choose  [tiǎo] poke; 挑战 challenge  [tāo] [táo] [diào] [tiáo] [tiao]		
售		shòu	sell; 售货 sell goods  [shú]		
川		chuān	river; 四川省 Sichuan Province; 冰川 glacier		
秀		xiù	优秀 yōuxiù excellent; 秀才 xiùcai scholar		
币	幣	bì	money, currency; 硬币 coin; 人民币 rénmínbì RMB.  [yìn]		
劲	勁	jìn	strength, energy, spirit   [jìng] 强劲		
欣		xīn	欣赏 xīnshǎng enjoy		
倾	傾	qīng	lean; 倾向 tendency, prefer; 倾斜 slant		
赵	趙	Zhào	(surname)		
贴	貼	tiē	stick, paste, glue; stay close to		
讯	訊	xùn	interrogate; 通讯 tōngxùn news report		
徒		tú	on foot; follower; 徒弟 apprentice; 匪徒 gangster		
杯		bēi	cup; 干杯 gānbēi cheers		
奔		bēn	run fast; flee  [bèn] go straight towards  [fèn]		
刺		cì	thorn; prick, stab; irritate; (刺杀) assassinate  [cī] wham  [qì]		
爆		bào	(爆炸 bàozhà) explode; 爆发 erupt; 爆竹 firecracker  [bó]		
盾		dùn	shield; 矛盾 máodùn contradiction ("spear-shield")  [shǔn] [yǔn]		
珠		zhū	(珠子 zhūzi) pearl; bead; 眼珠子 eyeball; 泪珠 teardrop		
闪	閃	shǎn	(闪开) get out of the way; flash; 闪电 lightning		
操		cāo	conduct; grasp; 操纵 cāozòng operate  [cào]		
废	廢	fèi	waste		
捕		bǔ	catch; 逮捕 dàibǔ arrest		
闲	閑	xián	idle; free time; 闲话 digression; complaint		
滚	滾	gǔn	roll; boil		
塞		sāi	fill in, stuff; cork  [sè] 堵塞 block up  [sài]		
狂		kuáng	(疯狂 fēngkuáng) crazy  [jué]		
蒙		méng	to cover; ䷃; ignorant  [mēng] cheat  [Měng] 蒙古		
籍		jí	book; registry; native place; membership; 国籍 nationality  [jiè]		
旋		xuán	spin; 旋转 xuánzhuǎn rotate  [xuàn] whirl; lathe		
弃	棄	qì	(放弃 fàngqì, 抛弃 pāoqì) abandon, give up		
兄		xiōng	(elder) brother; 兄弟 xiōngdì brothers  [kuàng]		
辉	輝	huī	shine; 光辉 radiance, glory; 辉煌 -huáng brilliant		
荡	蕩	dàng	swing, sway; loaf about; 扫荡 wipe out; 震荡 shake [tāng]		
朱		zhū	vermilion, bright red  [shū]		
腿		tuǐ	leg; 腿脚 ability to walk; 腿腕子 ankle; 大腿 thigh		
颇	頗	pō	quite, rather		
厅	廳	tīng	hall; 餐厅 cāntīng dining room		
奥	奧	ào	奥秘 àomì secret, mystery; 奥妙 àomiào profound, secret  [yù] [yōu]		
敬		jìng	(尊敬 zūnjìng) respect		
跃	躍	yuè	leap		
凭	憑	píng	lean on; based on; no matter ( = 不论)		
泥		ní	mud; 泥土 soil   [nì] putty  [nǐ] [niè] [nìng]		
滑		huá	slip, slide; smooth, slippery; 滑冰 ice-skate  [gǔ]		
婆		pó	old lady; 老婆 wife		
抵		dǐ	support; (抵抗 dǐkàng) resist  [zhǐ] [qí]		
蛋		dàn	egg; 鸡蛋 chicken egg; 蛋白质 protein		
闭	閉	bì	shut		
宇		yǔ	宇宙 yǔzhòu cosmos; 庙宇 miàoyǔ temple		
矛		máo	spear; 矛盾 máodùn contradiction ("spear-shield")		
残	殘	cán	injure; barbarous; incomplete; remnant		
雷		léi	thunder; 雷雨 thunderstorm; 雷达 radar  [lèi]		
竞	競	jìng	竞争 jìngzhēng compete; 竞赛 contest		
箱		xiāng	box		
戴		dài	put on; 戴眼镜; 戴上帽子		
袋		dài	bag, pocket		
析		xī	分析 fēnxī analyse  [sī]		
铺	鋪	pū	spread, unfold; pave  [pù] shop, store; plank bed; 卧铺		
冒		mào	emit; risk; pretend to be; 感冒 catch a cold  [mò]		
侧	側	cè	side  [zhāi] 侧歪 zhāiwai slant		
咱		zán	(咱们 zánmen) we     [zan] (from 早晚 zǎowǎn)  [zá] [zǎ]		
啦		la	(like 了 le plus 啊 a)   [lā]  [lá]		
援		yuán	hold; help; 支援 support; 援助 help  [huàn]		
库	庫	kù	warehouse; 数据库 database		
乃		nǎi	be; so; only then; you  [ǎi]		
俄		é	very soon; suddenly; 俄语 Éyǔ Russian (language)		
净	凈	jìng	clean, complete; only; 干净 gānjìng clean  [chēng]		
俩	倆	liǎ	two, both; 我们俩 the two of us  [liǎng] 伎俩 trick		
殊		shū	特殊 tèshū special, particular		
惜		xī	(珍惜) cherish; 可惜 it's too bad; 不惜 not hesitate		
灰		huī	dust; grey		
插		chā	insert, stick in; 插头 plug  [zhǎ]		
彻	徹	chè	彻底 thorough; 贯彻 carry out, implement		
仿		fǎng	仿佛 seem; 模仿 imitate, copy; 仿造 copy  [páng]		
虚	虛	xū	empty, void; 谦虚 modest; 虚心 open-minded; 空虚 hollow		
舒		shū	stretch; 舒服 shūfu comfortable; 舒畅 shūchàng carefree  [yù]		
拜		bài	honor, worship; 礼拜 lǐbài week   [bái] 拜拜 bye-bye		
舍		shè	宿舍 sùshè dormitory  [shě] (F捨) give up, abandon; 舍不得  [shì]		
蓝	藍	lán	(蓝色) blue		
贫	貧	pín	(贫苦, 贫穷) poor		
汗		hàn	(汗水 hànshuǐ) sweat, perspiration    [hán] 可汗 kèhán  [gān]		
拥	擁	yōng	embrace; crowd; 拥护 support; 拥挤 crowded		
哲		zhé	哲学 zhéxué philosophy		
绩	績	jì	成绩 grade, achievement; 功绩 merits & achievements		
伍		wǔ	five (same as 五); (surname); 队伍 duìwǔ troops		
腐		fǔ	rotten; 豆腐 tofu; 腐蚀 corrode; 腐败 corrupt		
罢	罷	bà	stop; 罢工 strike; 罢了 bàle that's all  [pí] (=疲)		
鬼		guǐ	ghost; (魔鬼 móguǐ) devil; 鬼子 guǐzi foreign devil		
仪	儀	yí	(仪表) appearance; (仪器) instrument		
恨		hèn	hate		
域		yù	(math:) field; 领域 territory; 流域 valley; 区域 region		
豪		háo	not at all		
颜	顏	yán	颜色 yánsè color; 颜面 yánmiàn face		
猪	豬	zhū	pig; 猪年 12th year		
伦	倫	lún	伦理 lúnlǐ ethics		
瓶		píng	(瓶子 píngzi) bottle		
旦		dàn	(书) dawn; 一旦 in one day; once; 元旦 New Year's Day		
拖		tuō	pull, drag; procrastinate  [chǐ]		
械		xiè	机械 jīxiè mechanical; 器械 qìxiè apparatus		
辛		xīn	8th 天干; suffering; 辛苦 xīnkǔ work hard		
涉		shè	wade, ford; go through; involve; 干涉 gānshè interfere  [dié]		
锋	鋒	fēng	锋利 sharp; 冲锋 charge, assault; 先锋 vanguard		
启	啟	qǐ	open; start; enlighten; 启发 arouse, inspire		
呆		dāi	stupid; stay; 呆板 dāibǎn stiff  [ái] 呆板 áibǎn stiff  [bǎo]		
尊		zūn	(尊重, 尊敬) respect		
智		zhì	智慧 zhìhuì wisdom; 智力 zhìlì intellegence		
碗		wǎn	bowl		
络	絡	luò	net; twine     (also [lào])		
距		jù	(距离 jùlí) distance		
疗	療	liáo	treat, cure; 疗法 therapy		
碎		suì	smash to pieces		
尾		wěi	(尾巴 wěiba) tail  [yǐ] 后尾		
租		zū	rent; 出租汽车 chūzūqìchē taxi  [jū]		
堆		duī	pile, heap   [zuī] 归里包堆		
鞋		xié	shoe  [wā]		
泛		fàn	flood; 广泛 wide, extensive; 泛滥 fànlàn overflow  [fěng] [fá]		
凉	涼	liáng	cool, cold    [liàng] make cool		
染		rǎn	to dye; catch (disease); 染料 dye; 污染 pollution		
瑞		ruì	auspicious, good omen; 瑞雪 timely snow		
贯	貫	guàn	贯彻 guànchè carry out; 一贯 consistent		
琴		qín	musical instrument; 钢琴 piano; 小提琴 violin		
珍		zhēn	(珍宝) treasure: 珍珠 pearl; 珍贵 precious		
胆	膽	dǎn	guts  [tán] [tǎn] [dá]		
毁	毀	huǐ	destroy; 毁灭 huǐmiè exterminate  [huì]		
胸		xiōng	(胸膛, 胸脯) chest; (胸怀) heart, mind		
摄	攝	shè	absorb; photograph; 拍摄 take a picture		
违	違	wéi	违反, 违背 violate; 违法 break the law		
龄	齡	líng	(年龄) age; duration		
纽	紐	niǔ	纽扣儿 niǔkòur button; knob, handle; tie		
扎		zhā	prick  [zhá] 挣扎 zhēngzhá struggle  [zā] 包扎  [zhǎ]		
腰		yāo	waist		
阻		zǔ	block; 阻止 zǔzhǐ prevent; 电阻 diànzǔ resistance  [zhù]		
