	Pinyin	Definition	Radical	Stroke count	HSK level	General Standard#	Frequency rank
粹	cuì	pure; unadulterated; select	米 119.8	14	6	3154	1736
扁	biǎn	flat; tablet, signboard	戶 63.5	9	6	1708	1737
循	xún	obey, comply with, follow	彳 60.9	12	6	2705	1744
赋	fù	tax; give; endow; army; diffuse	貝 154.8	12	6	2650	1747
抑	yì	press down, repress; curb, hinder	手 64.4	7	6	641	1748
哀	āi	sad, mournful, pitiful; pity	口 30.6	9	6	1619	1751
踏	tà	step on, trample, tread on, walk	足 157.8	15	6	3242	1753
恒	héng	constant, regular, persistent	心 61.6	9	6	1685	1764
纽	niǔ	knot; button; handle, knob; tie	糸 120.4	7	6	942	1767
纹	wén	line, streak, stripe; wrinkle	糸 120.4	7	6	939	1768
渔	yú	to fish; seize; pursue; surname	水 85.8	11	6	2425	1770
磁	cí	magnetic; magnetism; porcelain	石 112.10	14	6	3093	1771
铜	tóng	copper, brass, bronze	金 167.6	11	6	2306	1772
跨	kuà	straddle, bestride, ride; carry	足 157.6	13	6	2913	1774
怖	bù	terror, fear; frighten; terrified	心 61.5	8	6	1267	1776
叛	pàn	rebel; rebellion; rebellious	又 29.7	9	6	1644	1779
遣	qiǎn	send, dispatch; send off, exile	辵 162.10	13	6	2921	1780
弥	mí	extensive, full; fill; complete	弓 57.5	8	6	1313	1785
稀	xī	rare, unusual, scarce; sparse	禾 115.7	12	6	2678	1788
捷	jié	win, victory, triumph	手 64.8	11	6	2167	1789
疫	yì	epidemic, plague, pestilence	疒 104.4	9	6	1627	1791
肿	zhǒng	swell; swollen; swelling	肉 130.4	8	6	1183	1792
削	xuē	scrape off, pare, trim	刀 18.7	9	6	1475	1794
岗	gǎng	post; position	山 46.4	7	6	754	1795
晃	huǎng	bright, dazzling; to sway, shake	日 72.6	10	6	1893	1796
吞	tūn	swallow; absorb, annex, engulf	口 30.4	7	6	607	1797
宏	hóng	wide, spacious, great, vast	宀 40.4	7	6	879	1798
癌	ái	cancer; marmoset	疒 104.12	17	6	3425	1799
隶	lì	subservient; servant; KangXi radical 171	隶 171.0	8	6	1305	1801
履	lǚ	footwear, shoes; walk on, tread	尸 44.12	15	6	3312	1802
耀	yào	shine, sparkle, dazzle; glory	羽 124.14	20	6	3476	1804
扭	niǔ	turn, twist, wrench; seize, grasp	手 64.4	7	6	653	1805
坛	tán	altar; arena, examination hall	土 32.4	7	6	614	1806
拨	bō	move; dispel; distribute	手 64.5	8	6	991	1807
沃	wò	water, irrigate; fertile, rich	水 85.4	7	6	862	1808
绘	huì	draw, sketch, paint	糸 120.6	9	6	1757	1809
伐	fá	cut down, subjugate, attack	人 9.4	6	6	463	1810
堪	kān	adequately capable of, worthy of	土 32.9	12	6	2509	1811
牺	xī	sacrifice, give up; sacrificial	牛 93.6	10	6	1939	1814
墓	mù	grave, tomb	土 32.11	13	6	2853	1816
雇	gù	employ, to hire	隹 172.4	12	6	2789	1817
廉	lián	upright, honorable, honest	广 53.10	13	6	2992	1818
惩	chéng	punish, reprimand; warn	心 61.8	12	6	2703	1821
捉	zhuō	grasp, clutch; catch, seize	手 64.7	10	6	1795	1822
覆	fù	cover; tip over; return; reply	襾 146.12	18	6	3440	1823
劫	jié	take by force, coerce; disaster	力 19.5	7	6	660	1825
嫌	xián	hate, detest; suspect; criticize	女 38.10	13	6	3041	1826
雕	diāo	engrave, inlay, carve; exhaust; used for 鵰 an eagle, vulture	隹 172.8	16	6	3365	1829
闷	mèn	gloomy, depressed, melancholy	門 169.4	7	6	848	1830
乳	rǔ	breast, nipples; milk, suckle	乙 5.7	8	6	1175	1831
串	chuàn	string; relatives; conspire	丨 2.6	7	6	736	1832
娃	wá	baby; doll; pretty girl	女 38.6	9	6	1735	1833
缴	jiǎo	deliver, submit; hand over	糸 120.13	16	6	3387	1834
唤	huàn	call	口 30.7	10	6	1911	1835
霸	bà	rule by might rather than right	雨 173.13	21	6	3489	1838
妥	tuǒ	satisfactory, appropriate	女 38.4	7	6	799	1840
搭	dā	join together, attach to; add to	手 64.10	12	6	2511	1842
赴	fù	go to; attend, be present	走 156.2	9	6	1377	1843
岳	yuè	mountain peak; surname	山 46.5	8	6	1137	1844
舱	cāng	hold of ship; cabin	舟 137.4	10	6	1979	1846
庞	páng	disorderly, messy; huge, big	广 53.5	8	6	1207	1849
耕	gēng	plow, cultivate	耒 127.4	10	6	1766	1850
锐	ruì	sharp, keen, acute, pointed	金 167.7	12	6	2666	1851
缝	fèng	sew, mend	糸 120.10	13	6	3045	1852
宅	zhái	residence, dwelling, home; grave	宀 40.3	6	6	547	1858
斥	chì	to scold, upbraid, accuse, reproach	斤 69.1	5	6	278	1857
添	tiān	append, add to; increase	水 85.8	11	6	2411	1859
挖	wā	dig, dig out, gouge out, scoop	手 64.6	9	6	1394	1860
呵	ā	scold; laughing sound; yawn	口 30.5	8	6	1085	1861
讼	sòng	accuse; argue, dispute; litigate	言 149.4	6	6	557	1862
氧	yǎng	oxygen	气 84.6	10	6	1936	1863
酷	kù	strong, stimulating; very	酉 164.7	14	6	3087	1867
掠	lüè	rob, ransack, plunder; pass by	手 64.8	11	6	2182	1868
祸	huò	misfortune, calamity, disaster	示 113.7	11	6	2465	1870
贪	tān	be greedy, covet; covetous	貝 154.4	8	6	1176	1874
悬	xuán	hang, suspend, hoist; be hung	心 61.7	11	6	2264	1879
唇	chún	lips	口 30.7	10	6	1861	1880
仓	cāng	granary; berth; sea	人 9.2	4	6	149	1882
轨	guǐ	track, rut, path	車 159.2	6	6	404	1883
枚	méi	stalk of shrub, trunk of tree	木 75.4	8	6	1023	1884
庙	miào	temple, shrine; imperial court	广 53.5	8	6	1210	1889
屏	píng	folding screen, shield	尸 44.6	9	6	1724	1891
寺	sì	court, office; temple, monastery	寸 41.3	6	6	355	1892
愚	yú	stupid, doltish, foolish	心 61.9	13	6	2905	1895
疏	shū	neglect; careless, lax	疋 103.7	12	6	2804	1897
颤	chàn	shiver, tremble; trembling	頁 181.13	19	6	3465	1900
寸	cùn	inch; small, tiny; KangXi radical 41	寸 41.0	3	6	31	1904
盯	dīng	rivet gaze upon, keep eyes on	目 109.2	7	6	715	1906
辱	rǔ	humiliate, insult, abuse	辰 161.3	10	6	1860	1907
辨	biàn	distinguish, discriminate	辛 160.9	16	6	3371	1910
哦	ó	oh? really? is that so?	口 30.7	10	6	1908	1913
腔	qiāng	chest cavity; hollow in body	肉 130.8	12	6	2715	1914
郁	yù	sweet smelling, rich in aroma; (Cant.) to move, hit	邑 163.6	8	6	1043	1915
溃	kuì	flooding river; militarily defeat	水 85.9	12	6	2759	1916
忌	jì	jealous, envious; fear	心 61.3	7	6	910	1922
溜	liū	slide, glide, slip; slippery	水 85.10	13	6	3013	1923
笼	lóng	cage; cage-like basket	竹 118.5	11	6	2318	1928
丘	qiū	hill; elder; empty; a name	一 1.4	5	6	268	1929
滋	zī	grow, multiply, increase; thrive	水 85.10	12	6	2767	1931
壳	ké	casing, shell, husk	士 33.4	7	6	650	1937
痕	hén	scar; mark; trace	疒 104.6	11	6	2383	1938
穴	xué	cave, den, hole; KangXi radical 116	穴 116.0	5	6	313	1940
卓	zhuō	profound, brilliant, lofty	十 24.6	8	6	1070	1942
贤	xián	virtuous, worthy, good; able	貝 154.4	8	6	1074	1943
膜	mó	membrane; to kneel and worship	肉 130.11	14	6	3132	1945
毅	yì	resolute, decisive, firm, persist	殳 79.11	15	6	3286	1946
锦	jǐn	brocade, tapestry; embroidered	金 167.8	13	6	2942	1947
茫	máng	vast, boundless, widespread	艸 140.6	9	6	1413	1951
昂	áng	rise, raise; proud, bold; upright	日 72.4	8	6	1090	1952
皱	zhòu	wrinkles, creases, folds	皮 107.5	10	6	2011	1954
舌	shé	tongue; clapper of bell; KangXi radical 135	舌 135.0	6	6	449	1958
剥	bō	peel	刀 18.8	10	6	2129	1959
窝	wō	nest; cave, den; hiding place	穴 116.7	12	6	2784	1962
携	xié	lead by hand, take with; carry	手 64.10	13	6	2839	1964
陵	líng	hill, mound; mausoleum	阜 170.8	10	6	2135	1965
哼	hēng	hum; sing softly; groan, moan; (Cant.) an interjecting indicating disapproval	口 30.7	10	6	1913	1966
棉	mián	cotton; cotton padded	木 75.8	12	6	2574	1967
饲	sì	raise animals; feed; nourish	食 184.5	8	6	1203	1971
逆	nì	disobey, rebel; rebel, traitor	辵 162.6	9	6	1652	1975
喘	chuǎn	pant, gasp, breathe heavily	口 30.9	12	6	2642	1977
罩	zhào	basket for catching fish; cover	网 122.8	13	6	2933	1978
炉	lú	fireplace, stove, oven, furnace	火 86.4	8	6	1238	1980
胎	tāi	unborn child, embryo, fetus	肉 130.5	9	6	1598	1984
蓄	xù	store, save, hoard, gather	艸 140.10	13	6	2856	1985
竭	jié	put forth great effort; exhaust	立 117.9	14	6	3150	1987
浑	hún	muddy, turbid; blend, merge, mix	水 85.6	9	6	1681	1991
悦	yuè	pleased, contented, gratified	心 61.7	10	6	2096	1995
诞	dàn	bear children, give birth; birth	言 149.8	8	6	1297	1997
泡	pào	bubbles, suds; blister; soak	水 85.5	8	6	1251	2000
贼	zéi	thief, traitor; kill	貝 154.6	10	6	1924	2001
亭	tíng	pavilion; erect	亠 8.7	9	6	1620	2002
酬	chóu	toast; reward, recompense	酉 164.6	13	6	2874	2005
儒	rú	Confucian scholar	人 9.14	16	6	3361	2006
泄	xiè	leak; vent; flow; reveal	水 85.5	8	6	1242	2010
杆	gān	pole; shaft of spear	木 75.3	7	6	678	2011
挨	āi	near, close by, next to, towards, against; to wait; to lean on	手 64.7	10	6	1815	2012
吟	yín	sing, hum; recite; type of poetry	口 30.4	7	6	740	2015
狭	xiá	narrow, limited; narrow-minded	犬 94.6	9	6	1600	2018
肖	xiào	look like, resemble, be like	肉 130.3	7	6	713	2019
霞	xiá	rosy clouds	雨 173.9	17	6	3400	2021
驳	bó	varicolored, variegated; mixed	馬 187.4	7	6	935	2022
裕	yù	abundant, rich, plentiful	衣 145.7	12	6	2790	2023
顽	wán	obstinate, stubborn; recalcitrant	頁 181.4	10	6	1778	2024
畜	chù	livestock, domestic animals	田 102.5	10	6	2047	2030
咽	yàn	throat; pharynx	口 30.6	9	6	1504	2031
勾	gōu	hook, join, connect; entice	勹 20.2	4	6	158	2034
疆	jiāng	boundary, border, frontier	田 102.14	19	6	3472	2036
赌	dǔ	bet, gamble, wager; compete	貝 154.8	12	6	2651	2037
畏	wèi	fear, dread, awe, reverence	田 102.4	9	6	1492	2039
泊	pō	anchor vessel; lie at anchor	水 85.5	8	6	1249	2043
肺	fèi	lungs	肉 130.4	8	6	1181	2044
缠	chán	wrap, wind around; tie, bind	糸 120.10	13	6	3046	2046
瞪	dèng	stare at	目 109.12	17	6	3406	2049
吊	diào	condole, mourn, pity; hang	口 30.3	6	6	428	2050
斑	bān	mottled, striped, freckle	文 67.8	12	6	2505	2053
涛	tāo	large waves	水 85.7	10	6	2065	2054
俘	fú	prisoner of war; take as prisoner	人 9.7	9	6	1569	2057
卑	bēi	humble, low, inferior; despise	十 24.6	8	6	1154	2059
葬	zàng	bury, inter	艸 140.9	12	6	2548	2060
铭	míng	inscribe, engrave	金 167.6	11	6	2307	2061
蛮	mán	barbarians; barbarous, savage	虫 142.6	12	6	2727	2068
歧	qí	fork of road; branching off	止 77.4	8	6	1066	2071
廊	láng	corridor, porch, veranda	广 53.9	11	6	2384	2075
灌	guàn	pour; water; irrigate, flood	水 85.18	20	6	3486	2077
勉	miǎn	endeavor, make effort; urge	力 19.7	9	6	1599	2078
盲	máng	blind; unperceptive, shortsighted	目 109.3	8	6	1222	2079
宰	zǎi	to slaughter; to rule	宀 40.7	10	6	2106	2080
啥	shà	what?	口 30.8	11	6	2290	2082
胀	zhàng	swell, inflate, expand	肉 130.4	8	6	1184	2083
扯	chě	rip up, tear down; raise; haul	手 64.4	7	6	624	2084
辽	liáo	distant, far	辵 162.2	5	6	331	2086
抹	mǒ	smear, apply, wipe off, erase	手 64.5	8	6	953	2087
筒	tǒng	thick piece of bamboo; pipe	竹 118.6	12	6	2685	2088
朴	pǔ	simple, unadorned; sincere; surname; a tree	木 75.2	6	6	376	2092
咐	fù	instruct, order	口 30.5	8	6	1098	2093
誓	shì	swear, pledge; oath	言 149.7	14	6	3060	2095
喉	hóu	throat, gullet, larynx; guttural	口 30.9	12	6	2643	2096
妄	wàng	absurd, foolish, reckless; false	女 38.3	6	6	526	2097
拘	jū	restrain, seize, detain	手 64.5	8	6	976	2098
驰	chí	go quickly or swiftly; hurry	馬 187.3	6	6	596	2100
栏	lán	railing, balustrade; animal pan	木 75.5	9	6	1437	2101
逝	shì	pass away; die	辵 162.7	10	6	1803	2102
窃	qiè	secretly, stealthily; steal; thief	穴 116.4	9	6	1702	2103
纤	xiān	fine, delicate; minute; graceful	糸 120.3	6	6	591	2106
盈	yíng	fill; full, overflowing; surplus	皿 108.4	9	6	1745	2111
瞬	shùn	wink, blink; in a wink, a flash	目 109.12	17	6	3403	2114
婴	yīng	baby, infant; bother	女 38.8	11	6	2301	2115
颈	jǐng	neck, throat	頁 181.5	11	6	2485	2117
倘	tǎng	if, supposing, in event of	人 9.8	10	6	1961	2118
蔽	bì	cover, hide, conceal; shelter	艸 140.12	14	6	3073	2121
畅	chàng	smoothly, freely, unrestrained	日 72.4	8	6	1086	2122
赠	zèng	give present; bestow, confer	貝 154.12	16	6	3351	2123
跪	guì	kneel	足 157.6	13	6	2917	2128
颠	diān	top, peak, summit; upset	頁 181.10	16	6	3327	2134
遮	zhē	cover, shield, protect	辵 162.11	14	6	3143	2135
吁	xū		口 30.3	6	6	420	2138
辟	pì	law, rule; open up, develop	辛 160.6	13	6	3037	2140
瘤	liú	tumor, lump, goiter	疒 104.10	15	6	3282	2141
嫂	sǎo		女 38.10	12	6	2810	2142
框	kuāng	frame; framework; door frame	木 75.6	10	6	1833	2144
钦	qīn	respect, admire; respectful	金 167.4	9	6	1532	2147
庸	yōng	usual, common, ordinary, mediocre	广 53.8	11	6	2386	2148
吼	hǒu	roar, shout; bark, howl	口 30.4	7	6	749	2151
摊	tān	spread out, open; apportion	手 64.10	13	6	2844	2154
嘱	zhǔ	order, tell, instruct, leave word	口 30.12	15	6	3253	2156
衷	zhōng		衣 145.4	10	6	2020	2157
娇	jiāo	seductive and loveable; tender	女 38.6	9	6	1739	2158
讶	yà	express surprise, be surprised	言 149.4	6	6	553	2162
耸	sǒng	urge on; rise up; stir, excite	耳 128.4	10	6	1984	2163
摧	cuī	destroy, break, injure	手 64.11	14	6	3057	2166
薪	xīn	fuel, firewood; salary	艸 140.13	16	6	3325	2167
淋	lín	drip, soak, drench; perfectly	水 85.8	11	6	2413	2168
耻	chǐ	shame, humiliation; ashamed	耳 128.4	10	6	1816	2169
饥	jī	hunger, starving; hungry; a famine	食 184.2	5	6	299	2173
崩	bēng	rupture, split apart, collapse	山 46.8	11	6	2298	2178
逢	féng	come upon, happen meet; flatter	辵 162.7	10	6	2007	2181
撑	chēng	prop up, support; brace	手 64.12	15	6	3196	2183
翔	xiáng	soar, glide, hover; detailed	羽 124.6	12	6	2739	2184
枯	kū	dried out, withered, decayed	木 75.5	9	6	1427	2188
凑	còu	piece together, assemble	冫 15.9	11	6	2374	2193
溪	xī	mountain stream, creek	水 85.10	13	6	3012	2194
蠢	chǔn	wriggle; stupid; silly; fat	虫 142.15	21	6	3488	2195
阐	chǎn	explain, clarify, elucidate	門 169.8	11	6	2397	2197
旺	wàng	prosper; prosperous; increase	日 72.4	8	6	1076	2198
碑	bēi	stone tablet; gravestone	石 112.8	13	6	2878	2203
挪	nuó	move, shift on one side	手 64.7	9	6	1397	2204
脂	zhī	fat, grease, lard; grease	肉 130.6	10	6	1995	2206
谎	huǎng	lie	言 149.9	11	6	2461	2207
慨	kǎi	sigh, regret; generous	心 61.9	12	6	2778	2208
掘	jué	dig, excavate; excavate cave	手 64.8	11	6	2190	2212
逮	dǎi	seize, catch; reach, arrive	辵 162.8	11	6	2469	2216
掏	tāo	take out; pull out; clean out	手 64.8	11	6	2180	2218
晰	xī	clear, evident; clearly	日 72.8	12	6	2615	2220
罕	hǎn	rare, scarce; surname	网 122.3	7	6	895	2221
挽	wǎn	pull; pull back, draw back	手 64.7	10	6	1807	2222
舟	zhōu	boat, ship; KangXi radical 137	舟 137.0	6	6	484	2224
骚	sāo	harass, bother, annoy, disturb	馬 187.9	12	6	2823	2237
拓	tà	expand; open up; support or push	手 64.5	8	6	957	2238
坑	kēng	pit, hole; bury, trap; harry	土 32.4	7	6	645	2242
兆	zhào	omen; million; mega; also trillion. China = million; Japan and Taiwan = trillion	儿 10.4	6	6	489	2246
崖	yá	cliff, precipice; precipitous	山 46.8	11	6	2292	2247
刹	shā	temple, shrine, monastary	刀 18.6	8	6	1167	2249
芒	máng	Miscanthus sinensis	艸 140.3	6	6	372	2251
筋	jīn	muscles; tendons	竹 118.6	12	6	2688	2252
棍	gùn	stick, cudgel; scoundrel	木 75.8	12	6	2572	2255
钩	gōu	hook, barb; sickle; stroke with	金 167.5	9	6	1534	2254
嚷	rǎng	shout, brawl, make uproar, cry	口 30.17	20	6	3480	2256
弦	xián	string; hypotenuse, crescent	弓 57.5	8	6	1314	2258
焰	yàn	flame, blaze; glowing, blazing	火 86.8	12	6	2748	2259
耍	shuǎ	frolic, play, amuse, play with	而 126.3	9	6	1457	2260
俯	fǔ	bow down, face down, look down	人 9.8	10	6	1966	2261
愣	lèng	be in a daze	心 61.9	12	6	2774	2263
饶	ráo	bountiful, abundant, plentiful	食 184.6	9	6	1611	2266
钉	dīng	nail, spike; pursue closely	金 167.2	7	6	758	2267
叠	dié	pile; be piled up; fold up	又 29.11	13	6	3043	2271
惹	rě	irritate, vex, offend, incite	心 61.9	12	6	2547	2272
喻	yù	metaphor, analogy; example; like	口 30.9	12	6	2644	2273
谱	pǔ	list, table; musical score	言 149.12	14	6	3181	2274
煌	huáng	bright, shining, luminous	火 86.9	13	6	3004	2276
溶	róng	to melt, dissolve; overflowing with	水 85.10	13	6	3019	2278
坠	zhuì	fall down, drop, sink, go to ruin	土 32.4	7	6	917	2279
滥	làn	flood, overflow; excessive	水 85.10	13	6	3010	2282
瓷	cí	crockery, porcelain, chinaware	瓦 98.6	10	6	2038	2285
浴	yù	bathe, wash; bath	水 85.7	10	6	2076	2290
屁	pì	break wind; fart; buttocks	尸 44.4	7	6	903	2295
漆	qī	varnish, lacquer, paint	水 85.11	14	6	3161	2296
巢	cháo	nest, living quarter in tree	巛 47.8	11	6	2500	2298
吩	fēn	order, command, instruct	口 30.4	7	6	741	2299
啸	xiào	roar, howl, scream; whistle	口 30.8	11	6	2291	2301
滞	zhì	block up, obstruct; stagnant	水 85.9	12	6	2750	2302
膝	xī	knee	肉 130.11	15	6	3274	2307
茂	mào	thick, lush, dense; talented	艸 140.5	8	6	1003	2309
恕	shù	forgive, excuse, show mercy	心 61.6	10	6	2142	2314
渠	qú	ditch, canal, channel, gutter	水 85.9	11	6	2416	2315
辰	chén	early morning; 5th terrestrial branch	辰 161.0	7	6	701	2317
舶	bó	large, ocean-going vessel	舟 137.5	11	6	2344	2318
颁	bān	confer, bestow; publish, promulgate	頁 181.4	10	6	1990	2319
袍	páo	long gown, robe, cloak	衣 145.5	10	6	2117	2324
嘲	cháo	ridicule, deride, scorn, jeer at	口 30.12	15	6	3238	2325
衔	xián	bit; hold in mouth, bite; gag	彳 60.8	11	6	2342	2328
倦	juàn	be tired of, weary	人 9.8	10	6	1968	2329
涵	hán	soak, wet; tolerate, be lenient	水 85.8	11	6	2434	2330
雀	què	sparrow	隹 172.3	11	6	2255	2331
僵	jiāng	stiff and motionless, stock still	人 9.13	15	6	3269	2333
肢	zhī	human limbs; animal feet	肉 130.4	8	6	1182	2335
垄	lǒng	grave, mound; ridge in field	龍 212.3	8	6	1055	2336
侨	qiáo	sojourn, lodge	人 9.6	8	6	1149	2340
舆	yú	cart, palanquin, sedan chair	八 12.12	14	6	3125	2341
弊	bì	evil, wrong, bad; criminal	廾 55.12	14	6	3156	2348
凄	qī	bitter cold, miserable, dreary	冫 15.8	10	6	2015	2352
捧	pěng	hold up in two hands	手 64.8	11	6	2160	2353
浸	jìn	soak, immerse, dip, percolate	水 85.7	10	6	2085	2354
砖	zhuān	tile, brick	石 112.4	9	6	1447	2355
蒸	zhēng	steam; evaporate	艸 140.10	13	6	2860	2358
陡	dǒu	steep, sloping; abruptly, sudden	阜 170.7	9	6	1727	2362
哑	yǎ	dumb, mute; become hoarse	口 30.6	9	6	1484	2368
坟	fén	grave, mound; bulge; bulging	土 32.4	7	6	644	2370
眨	zhǎ	wink	目 109.5	9	6	1481	2371
搏	bó	seize; spring upon; strike	手 64.10	13	6	2835	2372
拢	lǒng	collect, bring together	手 64.5	8	6	958	2374
昧	mèi	obscure, dark; darken	日 72.5	9	6	1477	2376
擅	shàn	monopolize; claim; arbitrarily; to dare	手 64.13	16	6	3318	2377
爽	shuǎng	happy, cheerful; refreshing	爻 89.7	11	6	2244	2378
搁	gē	place, put, lay down; delay	手 64.9	12	6	2533	2380
雌	cí	female; feminine; gentle, soft	隹 172.5	14	6	3098	2382
哨	shào	whistle, blow whistle; chirp	口 30.7	10	6	1904	2383
巩	gǒng	bind; firm, secure, strong	工 48.3	6	6	361	2384
昔	xī	formerly; ancient; in beginning	日 72.4	8	6	1000	2388
谬	miù	error, exaggeration; erroneous	言 149.11	13	6	3034	2390
谍	dié	an intelligence report; to spy; spying	言 149.9	11	6	2460	2391
媳	xí	daughter-in-law	女 38.10	13	6	3039	2393
冤	yuān	grievance, injustice, wrong	冖 14.8	10	6	2124	2396
鸦	yā	crow; Corvus species (various)	鳥 196.4	9	6	1464	2397
蓬	péng	type of raspberry; fairyland	艸 140.11	13	6	2855	2398
巷	xiàng	alley, lane	己 49.6	9	6	1406	2399
栽	zāi	to cultivate, plant; to care for plants	木 75.6	10	6	1782	2401
沾	zhān	moisten, wet, soak; touch	水 85.5	8	6	1245	2402
诈	zhà	cheat, defraud, swindle; trick	言 149.5	7	6	893	2403
瞒	mán	deceive, lie; eyes half-closed	目 109.10	15	6	3232	2405
纺	fǎng	spin, reel, weave; reeled pongee	糸 120.4	7	6	940	2409
罐	guàn	jar, jug, pitcher, pot	缶 121.18	23	6	3499	2410
壤	rǎng	soil, loam, earth; rich	土 32.17	20	6	3474	2412
颂	sòng	laud, acclaim; hymn; ode	頁 181.4	10	6	1991	2414
膨	péng	to swell; swollen, bloated, inflated	肉 130.12	16	6	3364	2415
谐	xié	harmonize, agree; joke, jest	言 149.9	11	6	2462	2416
隙	xì	crack, split, fissure; grudge	阜 170.10	12	6	2806	2419
绑	bǎng	bind, tie, fasten	糸 120.6	9	6	1752	2421
嘿	hēi	be silent, be quiet	口 30.12	15	6	3252	2423
挫	cuò	push down; chop down; grind	手 64.7	10	6	1805	2426
辐	fú	spokes of wheel	車 159.9	13	6	2888	2428
乞	qǐ	beg; request	乙 5.2	3	6	42	2429
哇	wa	vomit; cry of an infant	口 30.6	9	6	1482	2433
绣	xiù	embroider; embroidery; ornament	糸 120.7	10	6	2151	2434
杖	zhàng	cane, walking stick	木 75.3	7	6	683	2435
衍	yǎn	overflow, spill over, spread out	行 144.3	9	6	1582	2437
攀	pān	climb; pull; hang on to	手 64.15	19	6	3456	2439
譬	pì	metaphor, simile, example	言 149.13	20	6	3487	2441
肆	sì	indulge; excess; numeral four; particle meaning now, therefore; shop	聿 129.7	13	6	2831	2445
泣	qì	cry, sob, weep	水 85.5	8	6	1253	2449
屡	lǚ	frequently, often, again and again	尸 44.9	12	6	2801	2450
躁	zào	tense, excited, irritable	足 157.13	20	6	3477	2451
椎	chuí	hammer, mallet; vertebra	木 75.8	12	6	2573	2455
砸	zá	smash, crush, break; pound, mash	石 112.5	10	6	1863	2456
帆	fān	sail; boat	巾 50.3	6	6	437	2459
窜	cuàn	run away; revise, edit; expel	穴 116.7	12	6	2783	2461
丸	wán	small round object; pellet, pill	丶 3.2	3	6	51	2462
斩	zhǎn	cut, chop, sever; behead	車 159.4	8	6	1060	2463
堤	dī	dike	土 32.9	12	6	2519	2464
塌	tā	fall in ruins, collapse	土 32.10	13	6	2836	2465
贩	fàn	peddler, hawker, street merchant	貝 154.4	8	6	1115	2466
掀	xiān	lift, raise; stir	手 64.8	11	6	2176	2468
谜	mí	riddle, conundrum; puzzle	言 149.9	11	6	2468	2471
捏	niē	pick with fingers; knead; mold	手 64.7	10	6	1793	2472
滨	bīn	beach, sea coast; river bank	水 85.10	13	6	3018	2474
虏	lǔ	to capture, imprison, seize; a prison	虍 141.2	8	6	1072	2475
卸	xiè	lay down; retire from office	卩 26.6	9	6	1536	2479
沼	zhǎo	lake, fishpond, swamps	水 85.5	8	6	1260	2480
株	zhū	numerary adjunct for trees; root	木 75.6	10	6	1840	2482
剖	pōu	split in two, slice; dissect	刀 18.8	10	6	2042	2484
劈	pī	cut apart, split, chop	刀 18.13	15	6	3311	2487
哗	huā	rushing sound; gush forward	口 30.6	9	6	1507	2486
怯	qiè	lacking in courage, afraid	心 61.5	8	6	1266	2488
沫	mò	froth, foam, bubbles, suds	水 85.5	8	6	1239	2495
竖	shù	perpendicular, vertical; erect	立 117.4	9	6	1473	2505
峻	jùn	high, steep, towering; stern	山 46.7	10	6	1923	2506
捞	lāo	scoop out of water; dredge, fish	手 64.7	10	6	1781	2508
鄙	bǐ	mean; low	邑 163.11	13	6	2903	2510
魄	pò	vigor; body; dark part of moon	鬼 194.5	14	6	3129	2511
兜	dōu	pouch	儿 10.9	11	6	2336	2512
哄	hōng	coax; beguile, cheat, deceive	口 30.6	9	6	1483	2513
颖	yǐng	rice tassel; sharp point; clever	頁 181.7	13	6	2979	2514
屑	xiè	bits, scraps, crumbs, fragments	尸 44.7	10	6	2133	2516
蚁	yǐ	ants	虫 142.3	9	6	1499	2517
渗	shèn	soak through, infiltrate	水 85.8	11	6	2437	2520
秃	tū	bald	禾 115.2	7	6	764	2521
旱	hàn	drought; dry; dry land	日 72.3	7	6	714	2523
谴	qiǎn	reprimand, scold, abuse	言 149.13	15	6	3307	2527
稻	dào	rice growing in field, rice plant	禾 115.10	15	6	3261	2529
铸	zhù	melt, cast; coin, mint	金 167.7	12	6	2656	2530
恍	huǎng	seemingly; absent-minded	心 61.6	9	6	1687	2535
贬	biǎn	decrease, lower; censure, criticize	貝 154.5	8	6	1116	2536
烛	zhú	candle, taper; shine, illuminate	火 86.6	10	6	2061	2537
朽	xiǔ	decayed, rotten; rot, decay	木 75.2	6	6	375	2544
佣	yōng	commission fee	人 9.5	7	6	780	2546
碌	lù	rough, uneven, rocky; mediocre	石 112.8	13	6	2882	2548
迄	qì	extend, reach; until; till	辵 162.3	6	6	453	2549
绅	shēn	girdle; tie, bind; gentry	糸 120.5	8	6	1339	2554
榜	bǎng	placard; list of successful exam candidates	木 75.10	14	6	3081	2556
诵	sòng	recite, chant, repeat	言 149.7	9	6	1718	2557
禽	qín	birds, fowl; surname;; capture	禸 114.8	12	6	2711	2562
瞄	miáo	take aim at; look at	目 109.9	13	6	2898	2565
幢	chuáng	carriage curtain; sun screen	巾 50.12	15	6	3254	2566
睹	dǔ	look at, gaze at; observe	目 109.9	13	6	2896	2568
贿	huì	bribe; bribes; riches, wealth	貝 154.6	10	6	1925	2569
蔑	miè	disdain, disregard; slight	艸 140.11	14	6	3070	2575
缚	fù	to tie	糸 120.10	13	6	3044	2577
淹	yān	drown; cover with liquid, steep	水 85.8	11	6	2415	2580
篷	péng	awning, covering; sail; boat	竹 118.11	16	6	3359	2579
勘	kān	investigate; compare; collate	力 19.9	11	6	2195	2585
灿	càn	vivid, illuminating; bright	火 86.3	7	6	852	2591
敞	chǎng	roomy, spacious, open, broad	攴 66.8	12	6	2607	2592
